[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\asyncio\subprocess.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1576532982.5743382
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\serializers\base.py first seen with mtime 1576533116.947898
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\urls\base.py first seen with mtime 1576533117.4645817
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\threading.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\asyncio\runners.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\asyncio\futures.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\validators.py first seen with mtime 1576533116.8039868
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\db\models\enums.py first seen with mtime 1576533117.111797
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\_weakrefset.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\http\request.py first seen with mtime 1576533117.3426557
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\quopri.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\copy.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1576533116.9578922
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\encodings\latin_1.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\AppData\Local\Programs\Python\Python38-32\Lib\asyncio\sslproto.py first seen with mtime 1571096546.0
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1576533117.6504672
[19/Dec/2019 15:16:51] DEBUG [django.utils.autoreload:349] File C:\Users\Gledyson\PROJECTS\Websites\ListaDeCompras\env\Lib\site-packages\django\core\management\base.py first seen with mtime 1576533116.8949301
